x,y
0.698765,-0.251118
0.831523,-0.202889
0.962378,-0.149711
1.091253,-0.091900
1.218101,-0.029764
1.342899,0.036393
1.465644,0.106289
1.586351,0.179648
1.705067,0.256189
1.821830,0.335678
1.937031,0.417418
2.051490,0.500196
2.166088,0.582781
2.281713,0.663919
2.399240,0.742270
2.519561,0.816249
2.643479,0.884009
2.771640,0.943321
2.904331,0.991604
3.040895,1.027516
3.180001,1.051849
3.320521,1.065970
3.461650,1.071477
3.602886,1.070009
3.743967,1.063126
3.884797,1.052224
4.025393,1.038605
4.165804,1.023191
4.306008,1.005993
4.445946,0.986762
4.585550,0.965234
4.724732,0.941137
4.863388,0.914175
5.001383,0.884022
5.138554,0.850316
5.274684,0.812632
5.409510,0.770526
5.542699,0.723505
5.673801,0.670948
5.802278,0.612277
5.927419,0.546799
6.048311,0.473783
6.163845,0.392568
6.272645,0.302545
6.373134,0.203346
6.463624,0.094960
6.542902,-0.021883
6.611015,-0.145580
6.668657,-0.274499
6.716721,-0.407295
6.756202,-0.542898
6.788091,-0.680491
6.813295,-0.819467
6.832708,-0.959373
6.847046,-1.099892
6.857015,-1.240790
6.863186,-1.381907
6.866100,-1.523129
6.866245,-1.664382
6.864059,-1.805619
6.859942,-1.946814
6.854296,-2.087956
6.847506,-2.229048
6.839961,-2.370101
6.831992,-2.511132
6.823035,-2.652102
6.811850,-2.792911
6.797064,-2.933385
6.777208,-3.073228
6.750788,-3.211974
6.716373,-3.348948
6.672751,-3.483267
6.619091,-3.613893
6.555077,-3.739766
6.480988,-3.859988
6.397885,-3.974169
6.306507,-4.081844
6.207421,-4.182469
6.100898,-4.275181
5.987206,-4.358936
5.866565,-4.432312
5.739305,-4.493464
5.606092,-4.540193
5.468138,-4.570077
5.327536,-4.582849
5.186330,-4.581644
5.045569,-4.570119
4.905536,-4.551640
4.766059,-4.529312
4.626746,-4.505967
4.487153,-4.484381
4.346925,-4.467474
4.205991,-4.458352
4.064760,-4.458523
3.923798,-4.467314
3.783506,-4.483651
3.644102,-4.506379
3.505643,-4.534314
3.368059,-4.566295
3.231178,-4.601165
3.094735,-4.637724
2.958257,-4.674144
2.821209,-4.708349
2.683153,-4.738201
2.543829,-4.761363
2.403310,-4.775434
2.262132,-4.779410
2.120880,-4.778568
1.979643,-4.780056
1.838897,-4.791342
1.700505,-4.819140
1.565940,-4.861934
1.434761,-4.914280
1.305591,-4.971440
1.176705,-5.029244
1.046397,-5.083742
0.913216,-5.130720
0.776431,-5.165715
0.636724,-5.186095
0.495631,-5.191135
0.354880,-5.180218
0.216438,-5.152636
0.082612,-5.107753
-0.043944,-5.045266
-0.161446,-4.967002
-0.271277,-4.878227
-0.376040,-4.783489
-0.478597,-4.686355
-0.581729,-4.589835
-0.687958,-4.496750
-0.798971,-4.409440
-0.916023,-4.330448
-1.040169,-4.263221
-1.172035,-4.212960
-1.310542,-4.186418
-1.451488,-4.189566
-1.589048,-4.220736
-1.719213,-4.275194
-1.839553,-4.348923
-1.948231,-4.438975
-2.043412,-4.543185
-2.123020,-4.659729
-2.186198,-4.785956
-2.233201,-4.919072
-2.264912,-5.056649
-2.282316,-5.196770
-2.286443,-5.337915
-2.278188,-5.478885
-2.258304,-5.618694
-2.227210,-5.756446
-2.185317,-5.891306
-2.132730,-6.022364
-2.069381,-6.148568
-1.995158,-6.268692
-1.910487,-6.381703
-1.816997,-6.487548
-1.716492,-6.586770
-1.610623,-6.680263
-1.500859,-6.769160
-1.388489,-6.854746
-1.274609,-6.938317
-1.160231,-7.021207
-1.046320,-7.104737
-0.933807,-7.190137
-0.823053,-7.277806
-0.714145,-7.367759
-0.607134,-7.459959
-0.502091,-7.554396
-0.399090,-7.651055
-0.298186,-7.749902
-0.199450,-7.850914
-0.102956,-7.954070
-0.008757,-8.059326
0.083081,-8.166648
0.172484,-8.276007
0.259399,-8.387353
0.343771,-8.500638
0.425536,-8.615819
0.504632,-8.732849
0.581019,-8.851665
0.654651,-8.972207
0.725572,-9.094365
0.793945,-9.217967
0.859935,-9.342859
0.923699,-9.468901
0.985417,-9.595958
1.045268,-9.723906
1.103415,-9.852637
1.160048,-9.982042
1.215340,-10.112025
1.269465,-10.242499
1.322605,-10.373378
1.374927,-10.504585
1.426614,-10.636044
1.477833,-10.767687
1.528760,-10.899442
1.579567,-11.031244
1.630427,-11.163025
1.681512,-11.294719
1.732998,-11.426258
1.785053,-11.557571
1.837860,-11.688584
1.891586,-11.819223
1.946416,-11.949402
2.002524,-12.079035
2.060085,-12.208030
2.119290,-12.336277
2.180307,-12.463673
2.243315,-12.590095
2.308501,-12.715408
2.376025,-12.839476
2.446055,-12.962147
2.518766,-13.083248
2.594297,-13.202609
2.672785,-13.320047
2.754354,-13.435365
2.839126,-13.548349
2.927028,-13.658916
3.017613,-13.767297
3.110395,-13.873805
3.204907,-13.978783
3.300702,-14.082591
3.397366,-14.185592
3.494492,-14.288156
3.591689,-14.390655
3.688565,-14.493455
3.784734,-14.596918
3.879802,-14.701392
3.973357,-14.807222
4.064993,-14.914718
4.154256,-15.024190
4.240713,-15.135891
4.323890,-15.250053
4.403314,-15.366856
4.478520,-15.486417
4.549032,-15.608803
4.614497,-15.733961
4.674862,-15.861658
4.730104,-15.991653
4.780220,-16.123709
4.825125,-16.257627
4.864692,-16.393217
4.898803,-16.530282
4.927244,-16.668634
4.949768,-16.808070
4.966118,-16.948364
4.975899,-17.089266
4.978768,-17.230477
4.974241,-17.371642
4.961805,-17.512329
4.940929,-17.652009
4.911021,-17.790033
4.871495,-17.925611
4.821811,-18.057800
4.761536,-18.185502
4.690418,-18.307494
4.608437,-18.422461
4.515953,-18.529159
4.413965,-18.626819
4.303818,-18.715183
4.186728,-18.794126
4.063768,-18.863578
3.935879,-18.923479
3.803893,-18.973715
3.668603,-19.014219
3.530741,-19.044850
3.391014,-19.065357
3.250161,-19.075560
3.108941,-19.075216
2.968166,-19.064019
2.828691,-19.041896
2.691247,-19.009431
2.556233,-18.967986
2.423884,-18.918674
2.294233,-18.862641
2.167225,-18.800842
2.042747,-18.734088
1.920603,-18.663151
1.800582,-18.588674
1.682464,-18.511212
1.566016,-18.431261
1.451227,-18.348945
1.338132,-18.264317
1.226777,-18.177413
1.117166,-18.088318
1.009301,-17.997117
0.903167,-17.903907
0.798734,-17.808795
0.695951,-17.711902
0.594749,-17.613358
0.495047,-17.513298
0.396749,-17.411857
0.299750,-17.309173
0.203934,-17.205384
0.109183,-17.100622
0.015368,-16.995019
-0.077640,-16.888706
-0.169968,-16.781802
-0.261969,-16.674615
-0.354782,-16.568133
-0.449739,-16.463563
-0.548142,-16.362236
-0.651330,-16.265799
-0.760606,-16.176344
-0.877042,-16.096466
-1.001219,-16.029308
-1.132798,-15.978222
-1.270208,-15.946031
-1.410760,-15.932871
-1.551971,-15.933881
-1.692822,-15.944343
-1.833157,-15.960402
-1.973183,-15.978992
-2.113237,-15.997368
-2.253643,-16.012777
-2.394570,-16.022140
-2.535780,-16.021661
-2.676174,-16.006838
-2.813850,-15.975597
-2.947280,-15.929434
-3.075690,-15.870692
-3.199087,-15.802007
-3.318059,-15.725889
-3.433523,-15.644533
-3.546562,-15.559831
-3.658304,-15.473421
-3.769839,-15.386744
-3.881458,-15.300174
-3.992289,-15.212600
-4.101301,-15.122776
-4.207336,-15.029465
-4.308962,-14.931381
-4.404445,-14.827324
-4.491637,-14.716247

