x,y
-4.510188380924546,-15.182464007314817
-4.569143321895083,-15.029199662338161
-4.6632497803615784,-14.730220156807771
-4.742505106809455,-14.557236370772525
-4.80318050574809,-14.389956825974153
-4.820755697513155,-14.281150436592593
-4.844097652476776,-14.078784941421622
-4.899744731686168,-13.897946802536026
-4.9570808668432065,-13.740802175388595
-5.01428842367903,-13.619345099468385
-5.070797688238583,-13.525077691769743
-5.129598249065854,-13.336794434009418
-5.208363059792948,-13.160965525556126
-5.2549122660908285,-13.063747011296186
-5.2967321488698484,-12.957582366113744
-5.324972127211909,-12.860792718687982
-5.365816673752406,-12.75974378037733
-5.456407033798579,-12.58185372744071
-5.568615259821774,-12.416630957557881
-5.656558028190439,-12.327186559388132
-5.730552785562336,-12.243113070221792
-5.81325816046764,-12.158574404966375
-5.888149496012209,-12.082153214198142
-5.969431749570509,-11.98734518301763
-6.0227656488884485,-11.896000194118438
-6.102066907967435,-11.783260413712977
-6.181796236184546,-11.68699090023988
-6.260230967109782,-11.613459612585782
-6.351571737358162,-11.5258345799741
-6.421395302276148,-11.453428795511524
-6.536338503421359,-11.370647287664195
-6.640684882574993,-11.278715874444432
-6.739660899954096,-11.207277973343821
-6.838802647850462,-11.141123101470809
-6.934691969031759,-11.075655038548662
-7.026357735791487,-10.99597894193049
-7.11848243551777,-10.909251047238694
-7.273752980546231,-10.773903019218444
-7.360524493552525,-10.702948156812116
-7.564123765808722,-10.597838605844975
-7.6820081766161685,-10.541367537520529
-7.7911004697211865,-10.473357100523092
-7.901111293846961,-10.407170363502049
-8.04551565986536,-10.324279953979218
-8.230651344684675,-10.20477716998074
-8.321253894808818,-10.13428001693385
-8.417138771138948,-10.0435214656192
-8.535161045709003,-9.94141919486495
-8.643799968693902,-9.846326967681414
-8.737686862506184,-9.779564093986947
-8.831832835653772,-9.721762512516383
-8.943362967036544,-9.664400288163675
-9.031704047949518,-9.591755747794275
-9.117369858604985,-9.522746040777946
-9.218877699540984,-9.444184989954643
-9.325210399959603,-9.375105807408408
-9.442917818190287,-9.287879252378703
-9.546089523909961,-9.181725566703212
