x,y,yaw,curvature,speed
26.940543,0.732675,0.026581,0.052879,1.2
27.083121,0.737007,0.034832,0.062788,1.2
27.225039,0.742589,0.04416,0.068384,1.2
27.366709,0.749538,0.053964,0.070015,1.2
27.507809,0.757863,0.063649,0.066872,1.2
27.648633,0.767507,0.072676,0.060775,1.2
27.789747,0.778389,0.080253,0.046167,1.2
27.931661,0.79027,0.084971,0.020242,1.2
28.074475,0.802641,0.086472,0.000825,1.2
28.218404,0.815127,0.085652,0.012112,1.2
28.363102,0.827424,0.08418,0.008158,1.2
28.509018,0.839649,0.081793,0.024406,1.2
28.655615,0.851402,0.078251,0.023752,1.2
28.802914,0.862693,0.074552,0.026353,1.2
28.95075,0.873446,0.069857,0.03712,1.2
29.098485,0.883375,0.064426,0.036292,1.2
29.245861,0.892485,0.060731,0.013708,1.2
29.39279,0.90127,0.059669,0.000672,1.2
29.539518,0.910029,0.059806,0.002537,1.2
29.686207,0.918839,0.059483,0.006945,1.2
29.83272,0.92749,0.05858,0.005346,1.2
29.979449,0.936037,0.056515,0.022679,1.2
30.126686,0.944121,0.053385,0.019795,1.2
30.274424,0.951799,0.051726,0.002674,1.2
30.423357,0.95948,0.051639,0.001486,1.2
30.573232,0.967243,0.05095,0.01061,1.2
30.7239,0.974806,0.049381,0.010213,1.2
30.875015,0.982158,0.048092,0.006834,1.2
31.026659,0.989378,0.04731,0.003477,1.2
31.179186,0.996559,0.047746,0.009135,1.2
31.332233,1.003979,0.049779,0.017424,1.2
31.485415,1.011815,0.052345,0.0161,1.2
31.638113,1.020005,0.054282,0.009262,1.2
31.789394,1.028332,0.055704,0.009511,1.2
31.939357,1.036802,0.057111,0.009194,1.2
32.08852,1.045434,0.057957,0.00209,1.2
32.236521,1.054044,0.057884,0.003114,1.2
32.383194,1.06251,0.05719,0.006398,1.2
32.527662,1.070713,0.054873,0.025878,1.2
32.670273,1.078279,0.051701,0.018474,1.2
32.810751,1.085362,0.049257,0.016107,1.2
32.950215,1.092079,0.047231,0.012825,1.2
33.089457,1.098535,0.045412,0.013245,1.2
33.228743,1.104736,0.044584,0.001372,1.2
33.367743,1.110951,0.046157,0.021173,1.2
33.507093,1.117593,0.049418,0.025588,1.2
33.64666,1.124746,0.053204,0.028477,1.2
33.786998,1.132499,0.058006,0.039754,1.2
33.928189,1.141094,0.062964,0.030322,1.2
34.070656,1.150383,0.067203,0.029151,1.2
34.213996,1.16033,0.071204,0.026567,1.2
34.358169,1.17089,0.074983,0.025768,1.2
34.502942,1.182037,0.077707,0.011782,1.2
34.648554,1.1935,0.077733,0.01131,1.2
34.794655,1.204759,0.075982,0.01255,1.2
34.941678,1.215815,0.074276,0.010614,1.2
35.089544,1.226702,0.072514,0.013154,1.2
35.238031,1.237343,0.070524,0.013558,1.2
35.387336,1.247739,0.068116,0.018592,1.2
35.537516,1.257774,0.065626,0.014571,1.2
35.68808,1.267504,0.063125,0.018568,1.2
35.838984,1.27683,0.060367,0.017949,1.2
35.989986,1.285751,0.058423,0.007739,1.2
36.141553,1.294527,0.057511,0.004299,1.2
36.293346,1.303217,0.056737,0.005875,1.2
36.445426,1.311786,0.0555,0.010331,1.2
36.59812,1.320149,0.053956,0.009887,1.2
36.751099,1.328295,0.052969,0.003029,1.2
36.903756,1.336353,0.051877,0.011263,1.2
37.056244,1.344139,0.050704,0.004087,1.2
37.20876,1.351831,0.050302,0.001177,1.2
37.361247,1.359495,0.050235,0.000298,1.2
37.513467,1.367151,0.049407,0.01118,1.2
37.665519,1.37454,0.047531,0.013466,1.2
37.817391,1.381608,0.046117,0.005134,1.2
37.968607,1.388527,0.046321,0.007888,1.2
38.119099,1.395593,0.047407,0.006483,1.2
38.269589,1.402807,0.048945,0.013898,1.2
38.420534,1.410359,0.05062,0.00827,1.2
38.572232,1.41814,0.052193,0.012408,1.2
38.724799,1.426254,0.054048,0.011895,1.2
38.878049,1.434685,0.057124,0.028119,1.2
39.031861,1.443814,0.062184,0.037588,1.2
39.18597,1.453857,0.067877,0.03618,1.2
39.340231,1.464777,0.072879,0.028472,1.2
39.494867,1.476409,0.078138,0.039448,1.2
39.649404,1.488985,0.084919,0.04827,1.2
39.802989,1.502638,0.093443,0.062776,1.2
39.954614,1.517588,0.104662,0.084841,1.2
40.104063,1.534264,0.118819,0.103796,1.2
40.25113,1.552986,0.136288,0.132434,1.2
40.39553,1.574235,0.157984,0.165464,1.2
40.537034,1.598534,0.185115,0.212715,1.2
40.675747,1.626708,0.218738,0.263943,1.2
40.810904,1.659414,0.258303,0.305283,1.2
40.942401,1.69716,0.302637,0.340763,1.2
41.070863,1.74058,0.350229,0.359257,1.2
41.196649,1.790034,0.39939,0.368416,1.2
41.319336,1.845455,0.451875,0.409532,1.2
41.438846,1.907589,0.506869,0.406891,1.2
41.554846,1.976223,0.562697,0.421054,1.2
41.666924,2.05144,0.620066,0.430308,1.2
41.774245,2.132876,0.677756,0.42522,1.2
41.87672,2.220317,0.736807,0.452326,1.2
41.973472,2.313624,0.800757,0.501293,1.2
42.063159,2.412572,0.871039,0.549825,1.2
42.145053,2.517433,0.94523,0.561727,1.2
42.219057,2.628394,1.019639,0.554661,1.2
42.284711,2.744632,1.093397,0.546744,1.2
42.342084,2.866215,1.163345,0.492957,1.2
