x,y,yaw,curvature,speed
-4.505573,-14.560705,2.103412,0.421123,1.77
-4.571948,-14.440264,2.047514,0.390996,1.814
-4.631931,-14.316037,1.997196,0.338186,1.859
-4.686278,-14.188586,1.955106,0.269524,1.903
-4.736052,-14.058577,1.923061,0.191308,1.948
-4.782532,-13.926739,1.902135,0.108545,1.983
-4.827132,-13.793826,1.892776,0.02525,2.0
-4.87132,-13.660579,1.894875,0.055137,2.0
-4.916529,-13.527704,1.907784,0.128961,2.0
-4.964071,-13.39584,1.930244,0.191668,2.0
-5.015046,-13.265532,1.96035,0.238685,2.0
-5.070249,-13.137207,1.995853,0.269473,2.0
-5.130176,-13.011185,2.034624,0.285986,2.0
-5.195061,-12.887695,2.074851,0.290487,2.0
-5.264926,-12.766887,2.115043,0.285319,2.0
-5.339621,-12.648839,2.154043,0.272916,2.0
-5.418873,-12.53357,2.191011,0.25559,2.0
-5.502321,-12.421042,2.225407,0.235478,2.0
-5.589561,-12.311176,2.25698,0.21468,2.0
-5.680181,-12.203859,2.285753,0.195078,2.0
-5.773803,-12.098961,2.311933,0.177357,2.0
-5.870089,-11.996349,2.335759,0.16132,2.0
-5.968746,-11.895883,2.357445,0.14673,2.0
-6.069511,-11.797425,2.377174,0.133352,2.0
-6.172155,-11.700835,2.395093,0.120937,2.0
-6.276469,-11.605973,2.411321,0.109257,2.0
-6.382267,-11.512699,2.425942,0.098083,2.0
-6.489375,-11.420872,2.439013,0.087207,2.0
-6.597633,-11.330346,2.45056,0.076445,2.0
-6.706885,-11.240975,2.4606,0.065816,2.0
-6.816984,-11.152605,2.46916,0.055455,2.0
-6.927788,-11.065087,2.476286,0.045492,2.0
-7.039166,-10.978272,2.482044,0.036061,2.0
-7.150996,-10.892016,2.486517,0.027283,2.0
-7.263165,-10.806186,2.489805,0.019274,2.0
-7.375572,-10.720658,2.492025,0.012165,2.0
-7.48813,-10.63532,2.493313,0.006071,2.0
-7.600762,-10.550078,2.49382,0.001106,2.0
-7.713409,-10.464853,2.493704,0.002743,2.0
-7.826022,-10.379584,2.493115,0.005609,2.0
-7.938568,-10.294225,2.49218,0.007629,2.0
-8.051022,-10.208746,2.49101,0.008933,2.0
-8.163368,-10.123125,2.489697,0.009656,2.0
-8.275597,-10.037351,2.488314,0.009929,2.0
-8.387705,-9.951419,2.486915,0.00988,2.0
-8.499694,-9.865331,2.485536,0.009642,2.0
-8.611565,-9.779091,2.484195,0.009344,2.0
-8.723322,-9.692703,2.482897,0.009039,2.0
-8.834969,-9.606172,2.481641,0.008736,2.0
-8.946509,-9.519503,2.480429,0.008433,2.0
-9.057946,-9.432702,2.479259,0.008127,2.0
-9.169284,-9.345773,2.478133,0.007822,2.0
-9.280525,-9.25872,2.477049,0.007515,2.0
-9.391674,-9.17155,2.47601,0.007208,2.0
-9.502734,-9.084266,2.475013,0.006902,2.0
-9.613709,-8.996874,2.47406,0.006592,2.0
-9.724603,-8.909379,2.473151,0.006284,2.0
-9.835419,-8.821785,2.472285,0.005975,2.0
-9.946161,-8.734098,2.471463,0.005664,2.0
-10.056833,-8.646322,2.470684,0.005355,2.0
-10.167439,-8.558462,2.46995,0.005046,2.0
-10.277982,-8.470524,2.469259,0.004734,2.0
-10.388466,-8.382511,2.468612,0.004424,2.0
-10.498895,-8.29443,2.468009,0.004112,2.0
-10.609274,-8.206284,2.467447,0.003856,2.0
-10.719604,-8.118079,2.466906,0.003805,2.0
-10.829886,-8.029813,2.466346,0.004118,2.0
-10.940118,-7.941484,2.465705,0.004959,2.0
-11.050287,-7.853078,2.464896,0.006489,2.0
-11.160375,-7.764571,2.463812,0.008868,2.0
-11.27035,-7.675928,2.462319,0.012267,2.0
-11.38017,-7.587095,2.460263,0.016842,2.0
-11.489775,-7.498004,2.457467,0.022756,2.0
-11.599087,-7.408566,2.453736,0.030072,2.0
-11.708011,-7.318672,2.448884,0.038646,2.0
-11.81643,-7.228194,2.442744,0.048315,2.0
-11.924214,-7.136991,2.435174,0.058927,2.0
-12.031215,-7.044913,2.426053,0.070298,2.0
-12.137273,-6.951799,2.415288,0.082257,2.0
-12.242214,-6.857486,2.402811,0.094616,2.0
-12.345854,-6.761811,2.388581,0.107164,2.0
-12.447999,-6.664617,2.372586,0.119721,2.0
-12.548449,-6.565751,2.354858,0.131848,2.0
-12.647003,-6.46508,2.335531,0.14252,2.0
-12.743477,-6.362492,2.314896,0.150525,2.0
-12.837723,-6.257918,2.293416,0.154618,2.0
-12.929655,-6.151337,2.271723,0.153586,2.0
-13.019262,-6.042793,2.25063,0.146098,1.978
-13.106639,-5.932402,2.231136,0.130803,1.939
-13.192004,-5.820373,2.214436,0.106338,1.891
-13.275719,-5.707027,2.201928,0.071226,1.84
-13.358314,-5.592817,2.195169,0.02471,1.788
-13.440487,-5.478352,2.195635,0.031375,1.736
-13.523067,-5.364386,2.204444,0.093979,1.685
-13.606949,-5.251785,2.222272,0.160297,1.655
-13.69304,-5.141481,2.249383,0.227641,1.642
-13.782199,-5.034441,2.285612,0.292862,1.639
-13.875192,-4.931613,2.330319,0.352194,1.639
-13.97264,-4.833881,2.382314,0.401021,1.641
-14.07497,-4.742008,2.439783,0.434073,1.651
-14.182382,-4.656568,2.500291,0.446703,1.674
-14.294816,-4.577878,2.561079,0.43823,1.718
-14.411989,-4.505967,2.619537,0.411475,1.768
-14.533454,-4.440591,2.67345,0.369869,1.783
-14.658649,-4.381249,2.72101,0.316719,1.776
-14.78694,-4.327213,2.760767,0.254798,1.749
-14.917651,-4.277552,2.791561,0.186113,1.701
-15.050083,-4.231149,2.812449,0.112,1.631
-15.18352,-4.186739,2.822662,0.033483,1.533
-15.317231,-4.142936,2.821621,0.048338,1.426
-15.450449,-4.09829,2.808947,0.132474,1.349
-15.58235,-4.051342,2.784455,0.218113,1.293
-15.712037,-4.000682,2.748128,0.30471,1.252
-15.838528,-3.945,2.700091,0.391547,1.222
-15.960757,-3.883133,2.640648,0.477213,1.199
-16.077584,-3.81411,2.570353,0.559419,1.182
-16.187806,-3.737204,2.490089,0.634874,1.167
-16.290192,-3.651979,2.401128,0.699937,1.156
-16.383516,-3.558336,2.305083,0.751668,1.146
-16.466611,-3.456537,2.203674,0.790206,1.139
-16.538393,-3.347198,2.098309,0.819546,1.133
-16.597859,-3.231249,1.989896,0.84332,1.13
-16.644112,-3.10989,1.878955,0.864306,1.128
