x,y,yaw,curvature,speed
3.961326,-4.87595,-3.021887,0.043829,2.808
3.828142,-4.892371,-3.013573,0.080164,2.794
3.696086,-4.910092,-2.996322,0.179125,2.794
3.565164,-4.930845,-2.974382,0.153091,2.863
3.436486,-4.953909,-2.954737,0.146176,2.832
3.309038,-4.979268,-2.932895,0.192157,2.781
3.184266,-5.007325,-2.911689,0.139786,2.716
3.06304,-5.036842,-2.89668,0.099902,2.648
2.94533,-5.067042,-2.891466,0.016973,2.569
2.82905,-5.096621,-2.891623,0.014671,2.482
2.713628,-5.126198,-2.891121,0.006393,2.297
2.599061,-5.155463,-2.895256,0.063916,2.206
2.485049,-5.183673,-2.90464,0.095623,2.106
2.370921,-5.210556,-2.917964,0.131608,2.022
2.256507,-5.23565,-2.93899,0.225611,1.939
2.140626,-5.257863,-2.967121,0.252231,1.869
2.023852,-5.276659,-2.998367,0.274986,1.804
1.905791,-5.29173,-3.031065,0.278235,1.769
1.788178,-5.302814,-3.065199,0.300117,1.739
1.671263,-5.309681,-3.101093,0.312342,1.737
1.554975,-5.312264,3.141545,0.383858,1.736
1.439056,-5.30967,3.096201,0.398784,1.734
1.323898,-5.301768,3.044519,0.493501,1.732
1.209075,-5.287275,2.988464,0.474761,1.732
1.094839,-5.266415,2.933921,0.462136,1.732
0.980924,-5.239201,2.878154,0.490899,1.735
0.868065,-5.205253,2.819745,0.498017,1.75
0.75625,-5.164285,2.760243,0.500127,1.751
0.645738,-5.116104,2.70061,0.488599,1.718
0.536842,-5.060729,2.643978,0.44453,1.673
0.431042,-4.99948,2.594312,0.367022,1.625
0.327767,-4.933325,2.556133,0.260584,1.575
0.228142,-4.864957,2.528042,0.203648,1.523
0.131751,-4.795287,2.509635,0.10423,1.458
0.037683,-4.725519,2.505691,0.039201,1.408
-0.055009,-4.657422,2.518032,0.177799,1.391
-0.147415,-4.592378,2.546858,0.332045,1.386
-0.24137,-4.531361,2.593334,0.496091,1.386
-0.338291,-4.475808,2.658709,0.663847,1.386
-0.44043,-4.426998,2.738832,0.746811,1.38
-0.548235,-4.386361,2.827232,0.774496,1.374
-0.662979,-4.354638,2.920121,0.781332,1.365
-0.784576,-4.333145,3.016327,0.775367,1.348
-0.91229,-4.323243,3.110522,0.694194,1.324
-1.045637,-4.325031,-3.080552,0.68498,1.297
-1.183876,-4.339842,-2.982134,0.735633,1.27
-1.323997,-4.369798,-2.876115,0.748384,1.249
-1.463132,-4.41577,-2.764542,0.780345,1.229
-1.597748,-4.478202,-2.649317,0.777305,1.211
-1.724949,-4.556186,-2.530259,0.823638,1.2
-1.841392,-4.648974,-2.406872,0.837079,1.197
-1.944681,-4.754705,-2.282045,0.855945,1.197
-2.032722,-4.871011,-2.151862,0.929688,1.2
-2.103312,-4.996265,-2.012232,1.014044,1.207
-2.154255,-5.128203,-1.866218,1.046136,1.218
-2.184893,-5.264333,-1.721957,1.017237,1.236
-2.195934,-5.401828,-1.584968,0.968984,1.263
-2.188767,-5.537681,-1.456019,0.921423,1.305
-2.164994,-5.670205,-1.336812,0.85168,1.369
-2.12691,-5.797203,-1.228039,0.781903,1.463
-2.076379,-5.918535,-1.132,0.672719,1.58
-2.015393,-6.03482,-1.051277,0.55484,1.712
-1.945972,-6.14655,-0.986944,0.427812,1.865
